,Date,Ticker,Weight,Annualized_vol,Price
996,2010-12-29,VTI,0.24716608,0.11527926687611102,65.04
997,2010-12-29,VIX,0.05672994,0.9199809080680901,17.28
998,2010-12-29,AGG,0.42134348,0.049401173479122255,1637.04
999,2010-12-29,DBC,0.27476057,0.19662313823639,27.37
1000,2010-12-30,VIX,0.05672994,0.9199809080680901,17.52
1001,2010-12-30,DBC,0.27476057,0.19662313823639,27.04
1002,2010-12-30,AGG,0.42134348,0.049401173479122255,1635.46
1003,2010-12-30,VTI,0.24716608,0.11527926687611102,64.96
1004,2010-12-31,DBC,0.27476057,0.19662313823639,27.55
1005,2010-12-31,VTI,0.24716608,0.11527926687611102,64.93
1006,2010-12-31,VIX,0.05672994,0.9199809080680901,17.75
1007,2010-12-31,AGG,0.42134348,0.049401173479122255,1641.1
1008,2011-01-03,VIX,0.05672994,0.9199809080680901,17.61
1009,2011-01-03,AGG,0.42134348,0.049401173479122255,1639.71
1010,2011-01-03,VTI,0.24716608,0.11527926687611102,65.6
1011,2011-01-03,DBC,0.27476057,0.19662313823639,27.67
1012,2011-01-04,VIX,0.05672994,0.9199809080680901,17.38
1013,2011-01-04,DBC,0.27476057,0.19662313823639,27.3
1014,2011-01-04,AGG,0.42134348,0.049401173479122255,1639.94
1015,2011-01-04,VTI,0.24716608,0.11527926687611102,65.47
1016,2011-01-05,AGG,0.42134348,0.049401173479122255,1630.82
1017,2011-01-05,VIX,0.05672994,0.9199809080680901,17.02
1018,2011-01-05,DBC,0.27476057,0.19662313823639,27.59
1019,2011-01-05,VTI,0.24716608,0.11527926687611102,65.83
1020,2011-01-06,AGG,0.42134348,0.049401173479122255,1634.79
1021,2011-01-06,VIX,0.05672994,0.9199809080680901,17.4
1022,2011-01-06,DBC,0.27476057,0.19662313823639,27.22
1023,2011-01-06,VTI,0.24716608,0.11527926687611102,65.68
1024,2011-01-07,AGG,0.42134348,0.049401173479122255,1641.36
1025,2011-01-07,VTI,0.24716608,0.11527926687611102,65.53
1026,2011-01-07,VIX,0.05672994,0.9199809080680901,17.14
1027,2011-01-07,DBC,0.27476057,0.19662313823639,27.12
1028,2011-01-10,VIX,0.05672994,0.9199809080680901,17.54
1029,2011-01-10,VTI,0.24716608,0.11527926687611102,65.58
1030,2011-01-10,AGG,0.42134348,0.049401173479122255,1642.93
1031,2011-01-10,DBC,0.27476057,0.19662313823639,27.44
1032,2011-01-11,AGG,0.42134348,0.049401173479122255,1641.11
1033,2011-01-11,VTI,0.24716608,0.11527926687611102,65.84
1034,2011-01-11,VIX,0.05672994,0.9199809080680901,16.89
1035,2011-01-11,DBC,0.27476057,0.19662313823639,27.745
1036,2011-01-12,AGG,0.42134348,0.049401173479122255,1640.73
1037,2011-01-12,DBC,0.27476057,0.19662313823639,27.9275
1038,2011-01-12,VTI,0.24716608,0.11527926687611102,66.43
1039,2011-01-12,VIX,0.05672994,0.9199809080680901,16.24
1040,2011-01-13,AGG,0.42134348,0.049401173479122255,1644.81
1041,2011-01-13,VIX,0.05672994,0.9199809080680901,16.39
1042,2011-01-13,DBC,0.27476057,0.19662313823639,27.89
1043,2011-01-13,VTI,0.24716608,0.11527926687611102,66.33
1044,2011-01-14,DBC,0.27476057,0.19662313823639,28.0225
1045,2011-01-14,VIX,0.05672994,0.9199809080680901,15.46
1046,2011-01-14,AGG,0.42134348,0.049401173479122255,1643.17
1047,2011-01-14,VTI,0.24716608,0.11527926687611102,66.76
1048,2011-01-18,AGG,0.42134348,0.049401173479122255,1641.56
1049,2011-01-18,VIX,0.05672994,0.9199809080680901,15.87
1050,2011-01-18,DBC,0.27476057,0.19662313823639,27.99
1051,2011-01-18,VTI,0.24716608,0.11527926687611102,66.93
1052,2011-01-19,AGG,0.42134348,0.049401173479122255,1643.83
1053,2011-01-19,VIX,0.05672994,0.9199809080680901,17.31
1054,2011-01-19,VTI,0.24716608,0.11527926687611102,66.13
1055,2011-01-19,DBC,0.27476057,0.19662313823639,27.96
1056,2011-01-20,AGG,0.42134348,0.049401173479122255,1636.17
1057,2011-01-20,DBC,0.27476057,0.19662313823639,27.68
1058,2011-01-20,VIX,0.05672994,0.9199809080680901,17.99
1059,2011-01-20,VTI,0.24716608,0.11527926687611102,65.93
1060,2011-01-21,DBC,0.27476057,0.19662313823639,27.96
1061,2011-01-21,VIX,0.05672994,0.9199809080680901,18.47
1062,2011-01-21,VTI,0.24716608,0.11527926687611102,66.04
1063,2011-01-21,AGG,0.42134348,0.049401173479122255,1639.12
1064,2011-01-24,DBC,0.27476057,0.19662313823639,27.72
1065,2011-01-24,VTI,0.24716608,0.11527926687611102,66.41
1066,2011-01-24,VIX,0.05672994,0.9199809080680901,17.65
1067,2011-01-24,AGG,0.42134348,0.049401173479122255,1640.1
